STATION,NETWORK,ADDRESS,CITY,STATE,ZIP,CHARGE_SPEED,PRICE_RAW
Walmart - Eastland,Electrify America,1410 East Main Street,Eastland,TX,76448.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
5702 58th Street,ChargePoint,5702 58th Street,Lubbock,TX,79424.0,"50 A, 24 kW",Cost: Parking (While not charging) 1 USD per hour After 30 mins of grace Period Parking (While plugged in) For first 30 mins Free Max Fee 24 USD
AutoNation Chevrolet Amarillo,None,2200 East Interstate Drive,Amarillo,TX,79103.0,"? A, ? kW",Cost: Unknown
Gunn Nissan of Denton,None,5650 South Interstate 35 East,Corinth,TX,76210.0,"? A, ? kW",Cost: 0.00$ / Free
AutoNation Nissan - Lewisville,None,1601 South Stemmons Freeway,Lewisville,TX,75067.0,"? A, ? kW",Cost: 0.00$ / Free
Courtesy Nissan,None,1777 North Central Expy,Richardson,TX,75080.0,"? A, ? kW",Cost: 0.00$ / Free
Nissan of McKinney,None,3800 South Central Expy,McKinney,TX,75069.0,"? A, ? kW",Cost: 0.00$ / Free
Walgreens,EVgo,5201 Belt Line Road,Dallas,TX,75254.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Texas Nissan of Grapevine,None,1401 West State Highway 114,Grapevine,TX,76051.0,"? A, ? kW",Cost: 0.00$ / Free
Walgreens,EVgo,26731 US Highway 380 East,Aubrey,TX,76227.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Walgreens,EVgo,313 North Denton Tap Road,Coppell,TX,75019.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Grapevine Mills Mall,EVgo,3000 Grapevine Mills Parkway,Grapevine,TX,76051.0,"125 A, 50 kW","Cost: Pay As You Go: $0.30/min, $3.00 for reservations; Evgo Member: $0.27/min, $3.00 for reservations, prepaid charging credit: $4.99; EVgo Plus™: $0.24/min, free for reservations, Membership fee: $6.99/month"
Walmart - Denton,Electrify America,2750 West University,Denton,TX,76201.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Mav Harley,ChargePoint,1845 I-35E,Carrollton,TX,75006.0,"50 A, 24 kW",Cost: Parking 0.1 USD per minute for first 60 mins Parking 0.2 USD per minute after 60 mins
5920 I-35E Harley,ChargePoint,5920 I-35E,Corinth,TX,76210.0,"50 A, 24 kW",Cost: 0.12$ / kWh
Walmart - Royse City,Electrify America,494 I-30,Royse City,TX,75189.0,"875 A, 350 kW","Cost: 90 kW: $0.16/min, 350 kW: $0.32/min. Membership rate: 90 kW: $0.12/min, 350 kW: $0.24/min. Membership fee: $4.00/month."
Mercedes-Benz of Plano,ChargePoint,6455 Dallas Parkway,Plano,TX,75024.0,"62 A, 62 kW",Cost: 0.30$ / kWh Time not charging: $10/hr after 15 mins
GM- Foundation Automotive of Wichita Falls,EVConnect,315 Central Freeway East,Wichita Falls,TX,76301.0,"125 A, 50 kW",Cost: 0.50/kWh + Flat fee: 5.00
Clay Cooley Nissan - Dallas,None,39690 Lyndon B Johnson Freeway,Dallas,TX,75237.0,"? A, ? kW",Cost: 0.00$ / Free
Nissan of Fort Worth,None,3451 West Loop 820 South,Fort Worth,TX,76116.0,"? A, ? kW",Cost: 0.00$ / Free
